review_text,reviewer,date,rating
현재 위치홈게시판상품 사용후기상품 사용후기상품 사용후기입니다.,Customer,,5
전체글보기답변전 글보기답변완료 글보기,Customer,,5
12345678910게시물 검색일주일한달세달전체제목내용글쓴이아이디별명상품정보찾기,Customer,,5
12345678910,Customer,,5
게시물 검색일주일한달세달전체제목내용글쓴이아이디별명상품정보찾기,Customer,,5
