키워드,빈도,순위
너부좋아서,1,310
발라줘요,1,311
차에두,1,312
놓구,1,313
헬스장락카두,1,314
뫃구,1,315
많이파세요,1,316
구매해서,1,317
쓰는중인데,1,318
발림성이,1,319
부드럽고,1,320
기름지거나,1,321
그렇다고,1,322
않아서,1,323
너무좋아요,1,324
허브향이라서,1,325
너무좋네요,1,326
일단,1,327
일되서,1,328
아직까지는,1,329
피부는,1,330
케어,1,331
싶은데,1,332
보습력,1,333
짱짱하니,1,334
되서,1,335
평생,1,336
정착할듯요,1,337
하하,1,338
대용량에,1,339
여름이면,1,340
휴대용도,1,341
부담없어,1,342
쓰게,1,343
되네요,1,344
재구매해서,1,345
효과도,1,346
좋으니까,1,347
구매할게요,1,348
최고,1,349
양도,1,350
몇년째,1,351
몇통을,1,352
쓰는지,1,353
구매해,1,354
봅니다,1,355
가볍고,1,356
피부를,1,357
챙겨보고,1,358
싶어서,1,359
여러,1,360
보다가,1,361
선택,1,362
쓸게요,1,363
온가족,1,364
아이크림,1,365
앞으로도,1,366
바를꺼예요,1,367
산것,1,368
생각보다,1,369
흡수,1,370
잘되고,1,371
끈적임,1,372
촉촉해,1,373
꾸준하게,1,374
계속쓰는제품,1,375
전체를,1,376
바르김,1,377
무겁네요,1,378
사용중이네요,1,379
사흘됐나봐요,1,380
다른거,1,381
안바르고,1,382
요것만,1,383
이래도,1,384
되는거,1,385
맞나요,1,386
왜인진,1,387
모르겠는데,1,388
밤에,1,389
아침에,1,390
아직까지,1,391
하루만에,1,392
도착했고,1,393
배송상태,1,394
양호합니다,1,395
선플랜,1,396
화장품만,1,397
사면,1,398
굳어서,1,399
시원하게,1,400
번에,1,401
샀습니다,1,402
선플랜에,1,403
돈은,1,404
전혀,1,405
아깝지,1,406
않습니다,1,407
쓰고나서,1,408
번도,1,409
뒤집혔거든요,1,410
개인적으로,1,411
대표님께서,1,412
팔아주셨으면,1,413
바람이,1,414
클렌징,1,415
제품도,1,416
구매했는데,1,417
겁니다,1,418
팔아주세요,1,419
별그램에서,1,420
몇번을,1,421
살까,1,422
말까,1,423
다이어트하며,1,424
피부에,1,425
탄력감을,1,426
주고싶은,1,427
마음에,1,428
바른지,1,429
일됐는데,1,430
솔직히,1,431
아직은,1,432
모르겠지만,1,433
괜히,1,434
아들이,1,435
생각하는,1,436
마음으로,1,437
만드셨다니,1,438
사용해볼게요,1,439
그런데,1,440
다른건몰라도,1,441
요거하나,1,442
바르니,1,443
편하네요,1,444
바르는,1,445
것이,1,446
피부도,1,447
고와지고,1,448
팽팽해지길,1,449
좋아지고,1,450
구매입니당,1,451
세번째,1,452
구매합니다,1,453
싸고,1,454
얼굴목에,1,455
만족해욤,1,456
클렌저도,1,457
크림도,1,458
재구매하고,1,459
여러개,1,460
주변에,1,461
선물도,1,462
하구요,1,463
별로,1,464
없어서,1,465
쓰게되요,1,466
맘에들고,1,467
좋어요,1,468
신랑이,1,469
바디크림,1,470
정도의,1,471
썼는데,1,472
바를수록,1,473
기분좋은,1,474
쫀쫀함이,1,475
느껴지네요,1,476
주문인지,1,477
사계절,1,478
사용하는,1,479
제품입니다,1,480
항상,1,481
용량대비,1,482
가격도,1,483
적당하고,1,484
제품인것,1,485
같습니다,1,486
시댁,1,487
어머님들과,1,488
제품이라,1,489
개씩,1,490
구매하는데,1,491
항상잘,1,492
다음에도,1,493
의사,1,494
있음요,1,495
무엇보다,1,496
대신,1,497
전체에,1,498
행복해요,1,499
자극도,1,500
순해서,1,501
민감한,1,502
피부인,1,503
딸과,1,504
년째,1,505
바르면,1,506
않을까,1,507
걱정,1,508
걱정안해도,1,509
되겠네요,1,510
쓰겠습니다,1,511
속당김,1,512
간편하게,1,513
얼굴이,1,514
시원하고,1,515
편안합니다,1,516
스킨케어가,1,517
편안해졌어요,1,518
아직,1,519
목에,1,520
발라보렵니다,1,521
인스타보고,1,522
한개만바르니,1,523
가벼운것같아,1,524
일이됐습니다,1,525
아침까지,1,526
고민하지말고,1,527
사용해보세요,1,528
트러블도,1,529
다만,1,530
저번에,1,531
쓰면서,1,532
불편했던,1,533
점이,1,534
있었는데,1,535
인쇄된글자가,1,536
지워지는게,1,537
찝찝합니다,1,538
이부분이,1,539
개선되었으면,1,540
좋겠습니다,1,541
예전에도,1,542
사용했던,1,543
제품이에요,1,544
제품들,1,545
돌고,1,546
돌다가,1,547
왔습니다,1,548
피부인데,1,549
제품은,1,550
한번도,1,551
트러블이,1,552
올라오거나,1,553
뒤집어진,1,554
적이,1,555
없어요,1,556
커서,1,557
이유가,1,558
피부고,1,559
느끼기에,1,560
엄청,1,561
아니여서,1,562
여러번,1,563
덧바르고,1,564
여름에,1,565
사용하기,1,566
제품인,1,567
매일,1,568
한통만,1,569
잔주름도,1,570
옅어지는,1,571
기분이라서,1,572
쟁입니다,1,573
고민하다가,1,574
샀는데,1,575
생각,1,576
외로,1,577
괜찮아서,1,578
추가,1,579
구매,1,580
더해야겠어요,1,581
번창하세요,1,582
동생이,1,583
선물해줘서,1,584
내산했어요,1,585
구입했어요,1,586
큰돈이라,1,587
여러통,1,588
못사고,1,589
한통씩만,1,590
사는게,1,591
아쉽지만,1,592
쓰면,1,593
찾아올게요,1,594
어느새,1,595
주기적으로,1,596
주문하게,1,597
템이,1,598
됐어요,1,599
엄마도,1,600
자꾸,1,601
사달라고,1,602
하셔서,1,603
텅장,1,604
부담없이,1,605
마음이,1,606
놓여요,1,607
감사합니당,1,608
재구매인지,1,609
모르겠다,1,610
나처럼,1,611
싫어하고,1,612
매번새브랜드,1,613
찾아쓰는것도,1,614
기본템,1,615
용량이,1,616
좋구요,1,617
듬뿍발라도,1,618
끈적임이,1,619
청소년,1,620
자녀와,1,621
하도,1,622
광고가,1,623
나와서,1,624
스토리의,1,625
진정성이,1,626
궁금했는데,1,627
텍스처가,1,628
전성분을,1,629
확인해보지는,1,630
않았는데,1,631
하나하나,1,632
찾아보고,1,633
따져보기,1,634
어머니,1,635
위해서,1,636
만들었다는,1,637
얘기,1,638
바르려고,1,639
이틀,1,640
발랐는데,1,641
느낌,1,642
이거저거,1,643
챙겨바르기,1,644
귀찮아,1,645
저에게,1,646
딱이에요,1,647
전부터,1,648
올인원,1,649
찾고,1,650
있었거든요,1,651
느낌도,1,652
몇개,1,653
쟁여두려고요,1,654
쓰기,1,655
시작하니,1,656
쓰게되네요,1,657
처음,1,658
썬플랜,1,659
아이사,1,660
어릴때,1,661
바를시간도,1,662
없을때,1,663
애들이,1,664
지금도,1,665
쓰고있네요,1,666
게으른,1,667
딱이예요,1,668
선물한,1,669
언니도,1,670
갈아타고,1,671
지금은,1,672
같이써요,1,673
보습력이,1,674
다소,1,675
부족한거,1,676
말고는,1,677
