키워드,빈도,순위
등록된,19,1
네이버,19,2
페이,19,3
구매평,19,4
좋아요,9,5
계속,7,6
사용하고,6,7
이것만,5,8
피부가,5,9
발라도,5,10
바르고,5,11
믿고,5,12
하나만,5,13
이거,4,14
쓰고,4,15
다시,4,16
이것저것,4,17
향도,4,18
제품,4,19
보고,3,20
이번에,3,21
많이,3,22
바를,3,23
순하고,3,24
구매했습니다,3,25
좋습니다,3,26
좋고,3,27
귀찮아서,3,28
화장품,3,29
좋네요,3,30
두번째,3,31
구매입니다,3,32
바르는데,3,33
제가,3,34
사서,3,35
번째,3,36
재구매입니다,3,37
만족합니다,3,38
얼굴,3,39
이제,3,40
그냥,3,41
쓰는,3,42
했는데,2,43
건조하지,2,44
피부,2,45
촉촉하고,2,46
수시로,2,47
엄마를,2,48
순한,2,49
건조한,2,50
바르기,2,51
손에,2,52
촉촉하네요,2,53
좋으면,2,54
재구매,2,55
후기가,2,56
썼어요,2,57
만족하며,2,58
않고,2,59
감사합니다,2,60
트러블,2,61
이제품,2,62
년을,2,63
끈적이지도,2,64
다른,2,65
예민한,2,66
남편도,2,67
같이,2,68
좋아,2,69
고민하다,2,70
잤는데,2,71
친정,2,72
좋음,2,73
제발,2,74
로션,2,75
얼굴에,2,76
든든해요,2,77
사용한지,2,78
써보고,2,79
이걸로,2,80
있어서,2,81
간단하게,2,82
많아서,2,83
모르겠어요,2,84
제품만,2,85
없이,2,86
맘에,2,87
듭니다,2,88
그래도,2,89
씻고,2,90
천년만년,2,91
한번,2,92
귀찮은,2,93
저에겐,2,94
용량도,2,95
첨엔,2,96
몇번째,2,97
좋은,2,98
한번에,2,99
아이크림을,2,100
함께,2,101
없습니다,2,102
촉촉한,2,103
쓰다가,2,104
좋아서,2,105
바른다고,1,106
좋아질까,1,107
남자친구한테,1,108
하니,1,109
성물,1,110
했더니,1,111
한번바르고,1,112
탱탱해지는거,1,113
효과가,1,114
있구나,1,115
생각했어요,1,116
절때,1,117
않아요,1,118
덧바를때도,1,119
처음부터,1,120
두껍게,1,121
팩처럼,1,122
쓰기도,1,123
미리준비도,1,124
했네요,1,125
써도써도,1,126
다낭,1,127
놀러가는데,1,128
두개는,1,129
올인원이라,1,130
편하고,1,131
미니먼해서,1,132
아깝지만,1,133
몸이,1,134
건조할때는,1,135
발라주고,1,136
얼굴은,1,137
당연히,1,138
바르구요,1,139
자주,1,140
씻는,1,141
직업인지라,1,142
건조하고,1,143
가려울,1,144
정도라고,1,145
들고,1,146
다니며,1,147
바르기도,1,148
다시금,1,149
미니미,1,150
사이즈가,1,151
나왔으면,1,152
좋겠어요,1,153
얼굴뿐만,1,154
아니라,1,155
손부터,1,156
전신까지,1,157
만큼,1,158
제피부에는,1,159
기능성제품,1,160
획득,1,161
독일,1,162
더마,1,163
테스트까지,1,164
통과했으니,1,165
이보다,1,166
좋을순없죠,1,167
쟁여두고,1,168
말들었단,1,169
아드님의,1,170
스토리를,1,171
온몸에,1,172
크림이라고,1,173
해서,1,174
그렇게,1,175
덥더니,1,176
오늘부터,1,177
쌀쌀해져서,1,178
몸에,1,179
냄새는,1,180
아토베리어,1,181
크림과,1,182
비슷하며,1,183
그쓸데없는,1,184
지독한,1,185
억지향기,1,186
안나고,1,187
먼저,1,188
발라보았는데,1,189
발림성도,1,190
다써보구,1,191
할께요,1,192
광고보고,1,193
좋길래,1,194
사봣어요,1,195
제품을,1,196
받고도,1,197
한참후에,1,198
개봉해서,1,199
원래,1,200
후기,1,201
안쓰는데,1,202
일부러,1,203
들어와서,1,204
후기남겨요,1,205
강력,1,206
추천합니다,1,207
여러가지,1,208
바르지,1,209
않아도,1,210
되고,1,211
제품력도,1,212
뛰어나,1,213
시어머니랑,1,214
시누이에게,1,215
선물했어요,1,216
포장도,1,217
친환경적이고,1,218
깔끔해요,1,219
화장하기전에,1,220
밀리지도,1,221
사용전,1,222
사진을,1,223
찍어놔서,1,224
후회하고,1,225
사장님께서,1,226
어머님을,1,227
사랑,1,228
나눠주셔서,1,229
중반에,1,230
급격히,1,231
늘어지는,1,232
잡아주고,1,233
기미도,1,234
흐려지는것,1,235
지금,1,236
사진,1,237
찍어두고,1,238
나중에,1,239
아니면,1,240
일어서,1,241
쓰는데,1,242
화장도,1,243
못하고,1,244
다닙니다,1,245
이건,1,246
순해요,1,247
얼굴만,1,248
바르다,1,249
보니까,1,250
계절,1,251
상관없이,1,252
썼습니다,1,253
쓰니까,1,254
단순,1,255
질려서,1,256
크림,1,257
썼은데,1,258
이거만큼,1,259
깔끔하지,1,260
못해서,1,261
돌아왔습니다,1,262
계속해서,1,263
있게,1,264
번창하시길,1,265
바랍니다,1,266
저보다,1,267
사용해요,1,268
저희,1,269
집은,1,270
썬플랜이에요,1,271
평이,1,272
샀어요,1,273
역쉬,1,274
스킨바르고,1,275
이거하나,1,276
듬뿍,1,277
보숑함,1,278
부드러움,1,279
머죠,1,280
끈적임도,1,281
하나는,1,282
언니,1,283
줘야지,1,284
익숙하고,1,285
편안한,1,286
향과,1,287
하나로,1,288
온몸이,1,289
보드라워져서,1,290
간편하고,1,291
만족스러움,1,292
우앙,1,293
있으면,1,294
된다더니,1,295
진짜네요,1,296
변치말고,1,297
함께해주세요,1,298
이젠,1,299
스킨,1,300
없어도,1,301
될만큼,1,302
하나로만,1,303
써요,1,304
세번째구매,1,305
다름거쓰다가,1,306
돌아왓어요,1,307
포장용기,1,308
바꿔줫으면,1,309
